Aggregation Level,Data item,Unit,Pathway,Fuel,Peak/ Annual/ Minimum,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
3,Residential Electric Vehicles Demand (EVs),GWh,Falling Behind,Electricity,Annual [Fiscal],3258.641,4388.174,5544.123,7039.433,8748.894,10694.552,12874.451,15275.097,17887.255,20672.388,23586.414,26611.435,29780.726,33126.603,36393.367,39444.853,42114.6,44421.0,46403.4,47916.2,48943.6,49486.5,49819.9,50440.1,50540.3,50591.8,50608.7,50733.4
3,Residential Electric Vehicles Demand (EVs),GWh,Holistic Transition,Electricity,Annual [Fiscal],3258.641,4388.174,6286.129,8323.647,10741.993,13581.419,16879.97,20689.549,24913.041,29456.268,34151.451,38778.224,43192.092,47093.892,50439.177,53111.419,55115.692,56926.3,58611.7,59692.6,59904.7,59864.7,59730.5,59491.7,59122.5,58656.8,58120.9,57586.5
3,Residential Electric Vehicles Demand (EVs),GWh,Ten Year Forecast,Electricity,Annual [Fiscal],3258.641,4388.174,5728.518,7334.268,9188.784,11316.404,13731.161,16454.653,19448.541,22681.06,26066.203,29481.074,32886.062,,,,,,,,,,,,,,,
3,Residential Air Conditioning Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],307.131,312.734,331.176,357.109,384.598,413.748,444.98,478.469,514.457,553.06,594.418,638.68,686.102,736.982,791.421,849.636,911.839,984.042,1063.869,1149.9,1242.537,1342.585,1450.606,1567.203,1693.039,1828.829,1975.338,2133.513
3,Residential Air Conditioning Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],307.131,312.734,331.176,357.109,384.598,413.748,444.98,478.469,514.457,553.06,594.418,638.68,686.102,736.982,791.421,849.636,911.839,984.042,1063.869,1149.9,1242.537,1342.585,1450.606,1567.203,1693.039,1828.829,1975.338,2133.513
3,Residential Air Conditioning Demand,GWh,Falling Behind,Electricity,Annual [Fiscal],307.131,312.734,342.471,379.263,419.49,463.477,511.929,565.33,624.274,689.249,760.804,839.541,926.245,1021.813,1126.938,1242.517,1369.511,1517.886,1685.355,1870.857,2076.194,2303.978,2556.606,2836.726,3147.293,3491.573,3873.177,4296.349
3,Residential Air Conditioning Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],307.131,312.734,320.298,336.294,352.655,369.404,386.838,405.009,424.016,443.841,464.482,485.94,508.289,531.619,555.871,581.061,607.197,638.038,671.651,706.868,743.72,782.463,823.178,865.947,910.868,958.04,1007.567,1059.619
3,Residential Air Conditioning Demand,GWh,Ten Year Forecast,Electricity,Annual [Fiscal],307.131,312.734,337.732,369.9,404.633,442.143,482.992,527.505,576.095,629.057,686.723,749.455,817.756,,,,,,,,,,,,,,,
3,Residential District Heat Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],140.833,143.516,177.542,245.646,317.029,391.691,469.631,537.94,655.929,773.918,891.907,1009.896,1127.885,1934.99,2742.096,3549.201,4356.307,5163.412,5808.139,6452.866,7097.593,7742.32,8387.047,8800.365,9213.683,9627.001,10040.319,10453.637
3,Residential District Heat Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],140.833,143.516,169.234,307.605,452.901,605.121,764.266,908.532,1176.965,1445.398,1713.832,1982.265,2250.699,3635.699,5020.7,6405.7,7790.701,9175.701,10259.758,11343.816,12427.873,13511.93,14595.987,15220.839,15845.691,16470.542,17095.394,17720.246
