Connection,Pathway,Variable,Category,Type,SubType,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Distributed,Holistic Transition,Capacity (MW),Dispatchable,Hydrogen,Hydrogen CHP,0.0,0.0,0.0,0.0,0.0,53.29308,144.6808,254.346,391.4275,574.2029,848.3659,985.051,985.051,986.0373,987.0235,988.0097,988.9959,989.9822,990.9684,991.9546,992.9408,993.9271,994.9133,995.8995,996.8857,997.872,998.8582
Distributed,Holistic Transition,Capacity (MW),Dispatchable,Hydrogen,Hydrogen Peaking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.3225,398.8947,740.5549,1200.331,1732.303,2262.204,2689.337,3001.059,3276.556,3586.572,3919.451,4276.064,4541.761,4784.708,5000.884,5195.282,5361.918,5498.426,5604.036
Distributed,Holistic Transition,Capacity (MW),Dispatchable,Other Thermal,Diesel,1305.32,952.3195,549.3195,549.3195,549.3195,549.3195,549.3195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distributed,Holistic Transition,Capacity (MW),Renewable,Hydro,Hydro,324.267,327.6242,330.9818,334.3417,337.7052,341.0738,344.4488,347.8313,351.2226,354.6235,358.035,361.4581,364.8936,368.3422,371.8047,375.2819,378.7743,382.2827,385.8076,389.3495,392.9092,396.4871,400.0836,403.6994,407.3349,410.9905,414.6667
Distributed,Holistic Transition,Capacity (MW),Renewable,Offshore Wind,Offshore Wind,681.2,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7
Distributed,Holistic Transition,Capacity (MW),Renewable,Onshore Wind,Onshore Wind,5436.147,5743.615,6202.018,6703.583,7277.083,7922.276,8626.108,9207.875,9822.383,10471.52,11157.29,11759.04,12335.39,12955.57,13539.23,14174.71,14936.35,15666.89,16392.0,17108.12,17846.84,18578.23,18949.85,19089.74,19230.43,19364.37,19431.05
Distributed,Holistic Transition,Capacity (MW),Renewable,Other Renewable,Geothermal CHP,0.0,0.0,4.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Distributed,Holistic Transition,Capacity (MW),Renewable,Other Renewable,Marine,47.058,62.058,90.558,124.558,144.558,169.558,189.558,199.558,209.558,244.558,264.558,274.558,284.558,294.558,304.558,314.558,324.558,334.558,344.558,354.558,354.558,354.558,354.558,354.558,354.558,354.558,354.558
Distributed,Holistic Transition,Capacity (MW),Renewable,Solar PV,Solar PV,11515.78,13226.09,14837.27,16465.78,18115.78,19765.78,21415.78,23415.78,25615.78,27644.6,29757.24,30950.48,31950.48,32550.48,33050.48,34292.93,35864.25,37348.89,38634.61,40075.14,41264.54,41803.63,41803.63,41803.63,41903.63,42003.63,42453.63
Distributed,Holistic Transition,Capacity (MW),Storage,Battery,Battery,3648.298,4917.786,6539.115,7621.615,8325.245,8788.175,9158.321,9458.321,10155.42,10254.82,10724.51,11011.94,11195.36,11328.36,11446.65,11502.45,11557.45,11589.0,11589.0,11589.0,11589.0,11589.0,11589.0,11589.0,11589.0,11589.0,11589.0
